dataset_protocol,method,beta,seed,threshold_analysis,f1,pr_auc,roc_auc,fpr,precision,recall,false_positives_per_10000_benign,threshold
CICIDS2017_COVERAGE_R1,CB-Score,0.1,11,fixed_0.5,0.002860532413823689,0.19585803173370187,0.24518983541530492,0.0007930024371152485,0.3573407202216066,0.0014360138925995191,7.930024371152485,0.5
CICIDS2017_COVERAGE_R1,CB-Score,0.1,11,method_specific,0.0028308408036076763,0.19585803173370187,0.24518983541530492,0.004026538236731736,0.09869931140015302,0.0014360138925995191,40.265382367317365,0.29
CICIDS2017_COVERAGE_R1,CB-Score,0.1,11,shared_full_threshold,0.002419883001986968,0.19585803173370187,0.24518983541530492,0.0004990446371501133,0.42745098039215684,0.0012133760797933921,4.990446371501133,0.84
CICIDS2017_COVERAGE_R1,CB-Score,0.6,42,fixed_0.5,0.002851175280973378,0.1640917189321323,0.2566006257303386,0.001804764167227807,0.1963470319634703,0.0014360138925995191,18.047641672278072,0.5
CICIDS2017_COVERAGE_R1,CB-Score,0.6,42,method_specific,0.002443684187141778,0.1640917189321323,0.2566006257303386,0.0002939577999651352,0.5612244897959183,0.0012245079704336984,2.9395779996513522,0.68
CICIDS2017_COVERAGE_R1,CB-Score,0.6,42,shared_full_threshold,0.013801856111683984,0.1640917189321323,0.2566006257303386,0.1208918542926384,0.02400794745846901,0.009684744857066524,1208.9185429263841,0.45
CICIDS2017_COVERAGE_R1,Full-Contextual,Full,777,fixed_0.5,0.0032464305827011627,0.17421572474713898,0.35793962022609777,0.0019893423206942874,0.20164609053497942,0.0016363879241250334,19.893423206942874,0.5
CICIDS2017_COVERAGE_R1,Full-Contextual,Full,777,method_specific,0.003161408706033206,0.17421572474713898,0.35793962022609777,0.0016782939509637372,0.22555205047318613,0.001591860361563808,16.782939509637373,0.56
CICIDS2017_COVERAGE_R1,Full-Contextual,Full,777,shared_full_threshold,0.003161408706033206,0.17421572474713898,0.35793962022609777,0.0016782939509637372,0.22555205047318613,0.001591860361563808,16.782939509637373,0.56
CICIoT2023_R1,CB-Score,0.4,2718,fixed_0.5,0.8862129549824306,0.9876309746098388,0.9594448204820754,0.004725392296718973,0.9980213913725198,0.7969325244816742,47.25392296718973,0.5
